Country,Date,No. of confirmed cases,No. of confirmed deaths
United States of America,14/01/2015,4,1
Mali,14/01/2015,7,
Guinea,14/01/2015,2514,1530
Liberia,14/01/2015,3127,
Senegal,14/01/2015,1,0
Spain,14/01/2015,1,0
United Kingdom,14/01/2015,1,
Nigeria,14/01/2015,19,7
Senegal,15/01/2015,1,0
Mali,15/01/2015,7,
Liberia,15/01/2015,3127,
United Kingdom,15/01/2015,1,
Sierra Leone,15/01/2015,7802,2701
United States of America,15/01/2015,4,1
Nigeria,15/01/2015,19,7
Spain,15/01/2015,1,0
Guinea,15/01/2015,2522,1537
United States of America,16/01/2015,4,1
Spain,16/01/2015,1,0
Mali,16/01/2015,7,
Liberia,16/01/2015,3127,
Guinea,16/01/2015,2525,1541
Senegal,16/01/2015,1,0
United Kingdom,16/01/2015,1,
Nigeria,16/01/2015,19,7
Sierra Leone,16/01/2015,7825,2717
Guinea,19/01/2015,2539,1556
Nigeria,19/01/2015,19,7
Mali,19/01/2015,7,
Spain,19/01/2015,1,0
Sierra Leone,19/01/2015,7883,2766
Liberia,19/01/2015,3131,
Senegal,19/01/2015,1,0
United States of America,19/01/2015,4,1
United Kingdom,19/01/2015,1,
Mali,20/01/2015,7,
Senegal,20/01/2015,1,0
Liberia,20/01/2015,3135,
Guinea,20/01/2015,2539,1557
Nigeria,20/01/2015,19,7
Spain,20/01/2015,1,0
United Kingdom,20/01/2015,1,
Sierra Leone,20/01/2015,7903,2779
United States of America,20/01/2015,4,1
United States of America,21/01/2015,4,1
Nigeria,21/01/2015,19,7
Guinea,21/01/2015,2539,1557
Sierra Leone,21/01/2015,7903,2779
United Kingdom,21/01/2015,1,
Liberia,21/01/2015,3135,
Senegal,21/01/2015,1,0
Mali,21/01/2015,7,
Spain,21/01/2015,1,0
Sierra Leone,22/01/2015,7909,2787
Mali,22/01/2015,7,
Liberia,22/01/2015,3136,
Senegal,22/01/2015,1,0
Guinea,22/01/2015,2542,1560
United Kingdom,22/01/2015,1,
United States of America,22/01/2015,4,1
Spain,22/01/2015,1,0
Nigeria,22/01/2015,19,7
Spain,23/01/2015,1,0
Mali,23/01/2015,7,
Senegal,23/01/2015,1,0
Liberia,23/01/2015,3136,
United Kingdom,23/01/2015,1,
Sierra Leone,23/01/2015,7921,2793
Nigeria,23/01/2015,19,7
Guinea,23/01/2015,2545,1561
United States of America,23/01/2015,4,1
Sierra Leone,26/01/2015,7963,2829
Mali,26/01/2015,7,
United States of America,26/01/2015,4,1
Liberia,26/01/2015,3136,
Guinea,26/01/2015,2559,1574
Spain,26/01/2015,1,0
United Kingdom,26/01/2015,1,
Nigeria,26/01/2015,19,7
Senegal,26/01/2015,1,0
Liberia,27/01/2015,3138,
United States of America,27/01/2015,4,1
United Kingdom,27/01/2015,1,
Sierra Leone,27/01/2015,7968,2833
Senegal,27/01/2015,1,0
Spain,27/01/2015,1,0
Nigeria,27/01/2015,19,7
Mali,27/01/2015,7,
Guinea,27/01/2015,2569,1578
United Kingdom,28/01/2015,1,
Liberia,28/01/2015,3138,
Nigeria,28/01/2015,19,7
Spain,28/01/2015,1,0
Guinea,28/01/2015,2569,1578
Senegal,28/01/2015,1,0
United States of America,28/01/2015,4,1
Mali,28/01/2015,7,
Sierra Leone,28/01/2015,7968,2833
Senegal,29/01/2015,1,0
Nigeria,29/01/2015,19,7
Liberia,29/01/2015,3138,
Spain,29/01/2015,1,0
United States of America,29/01/2015,4,1
United Kingdom,29/01/2015,1,
Mali,29/01/2015,7,
Guinea,29/01/2015,2571,1579
Sierra Leone,29/01/2015,7977,2841
Sierra Leone,30/01/2015,7989,2850
Guinea,30/01/2015,2575,1581
Nigeria,30/01/2015,19,7
Mali,30/01/2015,7,
Senegal,30/01/2015,1,0
Liberia,30/01/2015,3138,
Spain,30/01/2015,1,0
United States of America,30/01/2015,4,1
United Kingdom,30/01/2015,1,
